Recency,Frequency,Monetary,R,F,M
101,7,146.44,4,4,4
522,2,106.54,1,3,3
545,1,15.36,1,1,1
545,1,13.97,1,1,1
163,6,243.96,4,4,4
545,1,6.79,1,1,1
65,5,69.19,4,4,3
545,1,23.99,1,1,2
545,1,10.77,1,1,1
489,2,80.21,2,3,3
545,1,43.05,1,1,2
545,1,19.75,1,1,1
545,1,19.74,1,1,1
29,11,416.91,4,4,4
545,1,119.54,1,1,4
545,1,25.74,1,1,2
1,8,245.59,4,4,4
29,3,34.75,4,3,2
34,8,173.18,4,4,4
202,8,186.46,4,4,4
545,1,14.96,1,1,1
545,1,11.77,1,1,1
154,2,74.39,4,3,3
545,1,14.96,1,1,1
545,1,50.95,1,1,3
88,2,49.83,4,3,3
540,2,36.73,1,3,2
545,1,27.77,1,1,2
545,1,11.77,1,1,1
48,27,570.08,4,4,4
545,1,12.49,1,1,1
126,10,174.03,4,4,4
306,2,62.59,3,3,3
545,1,43.7,1,1,3
43,4,91.72,4,4,3
545,1,9.99,1,1,1
43,2,31.87,4,3,2
39,4,115.19,4,4,4
286,2,34.45,3,3,2
513,2,36.11,1,3,2
545,1,13.77,1,1,1
545,1,294.03,1,1,4
545,1,15.36,1,1,1
541,1,70.23,1,1,3
333,6,160.23,3,4,4
545,1,27.94,1,1,2
535,2,255.78,1,3,4
161,7,113.79,4,4,4
545,1,25.54,1,1,2
421,3,53.97,3,3,3
545,1,15.76,1,1,1
545,1,14.37,1,1,1
524,2,84.29,1,3,3
63,5,73.3,4,4,3
544,2,146.46,1,3,4
341,4,63.83,3,4,3
531,1,72.23,1,1,3
205,4,102.07,4,4,3
545,1,17.99,1,1,1
226,3,94.26,3,3,3
129,2,133.63,4,3,4
472,3,116.17,2,3,4
96,2,86.03,4,3,3
545,1,7.78,1,1,1
545,1,14.37,1,1,1
527,2,22.54,1,3,2
252,7,222.22,3,4,4
545,1,11.77,1,1,1
545,1,13.97,1,1,1
28,4,195.92,4,4,4
509,1,57.48,1,1,3
409,2,74.02,3,3,3
545,1,57.85,1,1,3
545,1,12.49,1,1,1
243,3,86.33,3,3,3
545,1,47.93,1,1,3
545,1,28.33,1,1,2
333,5,105.61,3,4,3
56,6,170.12,4,4,4
310,5,164.58,3,4,4
175,13,339.79,4,4,4
3,5,83.49,4,4,3
389,2,79.96,3,3,3
545,1,69.04,1,1,3
545,1,42.98,1,1,2
545,1,12.99,1,1,1
511,2,23.96,1,3,2
545,1,7.98,1,1,1
545,1,16.7,1,1,1
545,1,23.54,1,1,2
338,5,305.19,3,4,4
545,1,28.74,1,1,2
479,2,30.95,2,3,2
52,4,100.55,4,4,3
529,2,65.43,1,3,3
544,1,17.96,1,1,1
20,24,1287.41,4,4,4
19,6,148.75,4,4,4
10,20,750.18,4,4,4
49,4,94.15,4,4,3
544,1,14.37,1,1,1
496,3,92.28,2,3,3
311,3,104.57,3,3,3
544,1,40.26,1,1,2
20,6,348.26,4,4,4
544,1,13.97,1,1,1
544,1,15.96,1,1,1
544,1,11.77,1,1,1
442,3,79.58,3,3,3
82,3,55.75,4,3,3
544,1,59.97,1,1,3
544,1,14.79,1,1,1
541,1,57.27,1,1,3
544,1,8.77,1,1,1
544,1,48.95,1,1,3
544,1,14.79,1,1,1
544,1,16.99,1,1,1
495,3,135.6,2,3,4
519,2,99.28,1,3,3
544,1,37.47,1,1,2
463,1,7.78,3,1,1
500,1,29.99,2,1,2
522,2,269.17,1,3,4
544,1,12.77,1,1,1
451,3,38.71,3,3,2
462,2,21.75,3,3,2
544,1,5.78,1,1,1
544,1,60.47,1,1,3
29,4,118.35,4,4,4
113,2,31.89,4,3,2
544,1,23.97,1,1,2
320,3,139.81,3,3,4
428,3,256.45,3,3,4
544,1,14.7,1,1,1
544,1,53.88,1,1,3
544,1,37.71,1,1,2
544,1,20.0,1,1,2
544,1,25.99,1,1,2
533,2,87.27,1,3,3
544,1,13.97,1,1,1
424,2,28.93,3,3,2
507,2,20.54,1,3,2
544,1,49.98,1,1,3
544,1,199.15,1,1,4
174,4,65.88,4,4,3
102,2,173.78,4,3,4
221,2,27.36,3,3,2
95,4,386.58,4,4,4
544,1,25.53,1,1,2
544,1,14.96,1,1,1
544,1,68.04,1,1,3
236,2,22.76,3,3,2
4,21,538.43,4,4,4
231,4,173.38,3,4,4
544,1,27.13,1,1,2
544,1,10.77,1,1,1
399,5,113.34,3,4,4
237,2,152.27,3,3,4
544,1,30.99,1,1,2
488,1,28.45,2,1,2
544,1,12.77,1,1,1
471,1,52.5,3,1,3
539,1,39.32,1,1,2
544,1,69.25,1,1,3
191,2,102.73,4,3,3
37,20,2432.29,4,4,4
533,2,231.13,1,3,4
472,3,88.86,2,3,3
334,4,72.23,3,4,3
144,5,231.15,4,4,4
169,3,64.49,4,3,3
539,2,41.69,1,3,2
544,1,9.99,1,1,1
544,1,103.05,1,1,3
360,2,52.33,3,3,3
8,9,412.75,4,4,4
276,2,59.01,3,3,3
544,1,72.82,1,1,3
544,1,14.37,1,1,1
544,1,40.7,1,1,2
0,24,692.62,4,4,4
123,5,93.97,4,4,3
544,1,14.96,1,1,1
544,1,16.36,1,1,1
544,1,15.36,1,1,1
544,1,15.9,1,1,1
544,1,40.11,1,1,2
540,2,26.73,1,3,2
544,1,11.77,1,1,1
61,2,38.03,4,3,2
544,1,25.74,1,1,2
221,5,411.84,3,4,4
544,1,46.3,1,1,3
338,2,106.6,3,3,3
544,1,17.9,1,1,1
240,4,177.43,3,4,4
36,17,580.12,4,4,4
242,2,90.25,3,3,3
544,1,26.76,1,1,2
544,1,15.36,1,1,1
339,2,97.52,3,3,3
544,1,44.88,1,1,3
544,1,46.37,1,1,3
544,1,8.77,1,1,1
510,2,16.76,1,3,1
503,2,69.23,2,3,3
544,1,14.99,1,1,1
539,2,82.81,1,3,3
544,1,28.74,1,1,2
510,2,91.45,1,3,3
55,5,118.92,4,4,4
544,1,76.45,1,1,3
36,6,102.75,4,4,3
128,2,37.73,4,3,2
544,1,58.0,1,1,3
543,2,36.96,1,3,2
540,1,29.97,1,1,2
100,11,297.8,4,4,4
544,1,15.36,1,1,1
544,1,44.77,1,1,3
267,2,135.58,3,3,4
544,1,7.98,1,1,1
190,4,193.89,4,4,4
200,2,35.47,4,3,2
434,2,36.73,3,3,2
176,9,262.18,4,4,4
16,5,247.82,4,4,4
324,4,107.41,3,4,4
18,3,90.81,4,3,3
544,1,38.5,1,1,2
512,2,29.8,1,3,2
513,4,89.85,1,4,3
542,1,47.08,1,1,3
356,3,50.41,3,3,3
544,1,12.49,1,1,1
544,1,30.72,1,1,2
544,1,11.97,1,1,1
373,2,21.78,3,3,2
544,1,18.99,1,1,1
25,13,841.13,4,4,4
544,1,10.77,1,1,1
24,7,571.76,4,4,4
542,1,15.36,1,1,1
543,1,32.0,1,1,2
544,1,58.91,1,1,3
544,1,29.16,1,1,2
528,2,56.75,1,3,3
544,1,26.99,1,1,2
29,7,260.62,4,4,4
425,2,104.63,3,3,3
0,42,1543.35,4,4,4
510,2,62.32,1,3,3
107,8,151.76,4,4,4
544,1,41.74,1,1,2
542,2,24.74,1,3,2
544,1,11.77,1,1,1
71,7,139.18,4,4,4
544,1,14.99,1,1,1
55,5,219.21,4,4,4
540,1,21.74,1,1,2
544,1,25.99,1,1,2
544,1,14.37,1,1,1
225,2,42.97,3,3,2
179,20,1769.3,4,4,4
164,2,45.8,4,3,3
544,1,25.94,1,1,2
503,1,43.95,2,1,3
544,1,31.99,1,1,2
544,1,47.98,1,1,3
299,4,214.98,3,4,4
544,1,24.98,1,1,2
544,1,108.72,1,1,4
544,1,16.36,1,1,1
364,5,206.83,3,4,4
412,5,215.32,3,4,4
544,1,24.99,1,1,2
20,8,293.94,4,4,4
544,1,14.99,1,1,1
544,1,10.99,1,1,1
544,1,11.97,1,1,1
544,1,14.99,1,1,1
16,3,102.4,4,3,3
48,4,183.55,4,4,4
14,6,303.61,4,4,4
544,1,64.44,1,1,3
15,7,284.94,4,4,4
544,1,33.31,1,1,2
544,1,40.7,1,1,2
397,5,158.27,3,4,4
544,1,28.13,1,1,2
544,1,24.96,1,1,2
544,1,41.11,1,1,2
544,1,14.96,1,1,1
27,10,219.25,4,4,4
544,1,14.79,1,1,1
529,2,39.98,1,3,2
544,1,13.97,1,1,1
100,8,200.7,4,4,4
1,6,112.23,4,4,4
544,1,19.94,1,1,1
544,1,36.71,1,1,2
528,2,84.99,1,3,3
386,2,59.66,3,3,3
528,1,24.99,1,1,2
481,2,24.74,2,3,2
406,2,181.16,3,3,4
232,4,92.28,3,4,3
222,6,478.53,3,4,4
536,3,509.26,1,3,4
49,6,92.1,4,4,3
543,1,23.99,1,1,2
524,2,64.96,1,3,3
245,2,164.48,3,3,4
544,1,17.3,1,1,1
535,2,69.05,1,3,3
17,5,173.17,4,4,4
449,2,85.96,3,3,3
488,2,73.91,2,3,3
531,2,27.73,1,3,2
289,3,78.85,3,3,3
544,1,11.97,1,1,1
544,1,15.76,1,1,1
500,2,167.79,2,3,4
514,3,158.03,1,3,4
544,1,34.97,1,1,2
135,3,122.06,4,3,4
544,1,43.13,1,1,2
544,1,13.97,1,1,1
544,1,21.99,1,1,2
544,1,14.37,1,1,1
544,1,17.9,1,1,1
544,1,13.99,1,1,1
544,1,13.97,1,1,1
543,1,15.76,1,1,1
529,1,24.99,1,1,2
30,5,117.49,4,4,4
62,15,1154.78,4,4,4
544,1,20.0,1,1,2
543,1,11.77,1,1,1
160,2,32.79,4,3,2
529,2,60.97,1,3,3
231,2,27.76,3,3,2
544,1,15.76,1,1,1
22,10,203.37,4,4,4
544,1,28.34,1,1,2
544,1,13.77,1,1,1
541,2,72.07,1,3,3
251,2,39.12,3,3,2
544,1,11.77,1,1,1
521,2,120.13,1,3,4
9,42,3851.96,4,4,4
544,1,21.74,1,1,2
544,1,30.39,1,1,2
264,2,32.35,3,3,2
544,1,15.36,1,1,1
203,3,196.73,4,3,4
186,3,56.88,4,3,3
479,1,25.78,2,1,2
544,1,13.97,1,1,1
383,2,26.53,3,3,2
544,1,15.7,1,1,1
544,1,11.99,1,1,1
544,1,28.76,1,1,2
544,1,11.77,1,1,1
539,1,12.97,1,1,1
544,1,11.77,1,1,1
544,1,19.94,1,1,1
544,1,14.99,1,1,1
543,1,9.98,1,1,1
543,1,14.96,1,1,1
16,8,222.14,4,4,4
543,1,24.98,1,1,2
543,1,27.13,1,1,2
543,1,23.99,1,1,2
249,5,116.73,3,4,4
543,1,11.99,1,1,1
291,2,40.76,3,3,2
543,1,52.68,1,1,3
538,1,14.79,1,1,1
543,1,71.44,1,1,3
543,1,8.97,1,1,1
543,1,11.97,1,1,1
543,1,58.99,1,1,3
543,1,15.9,1,1,1
543,1,29.58,1,1,2
543,1,11.77,1,1,1
503,1,13.97,2,1,1
543,1,26.69,1,1,2
543,1,14.37,1,1,1
543,1,9.99,1,1,1
378,2,33.24,3,3,2
543,1,13.97,1,1,1
543,1,51.3,1,1,3
543,1,45.67,1,1,3
543,1,37.98,1,1,2
481,1,14.96,2,1,1
248,4,321.34,3,4,4
33,5,685.46,4,4,4
54,10,284.99,4,4,4
50,8,151.46,4,4,4
440,2,71.44,3,3,3
543,1,23.95,1,1,2
543,1,125.02,1,1,4
543,1,24.96,1,1,2
543,1,15.75,1,1,1
539,1,60.27,1,1,3
543,1,39.48,1,1,2
529,2,202.28,1,3,4
542,1,29.6,1,1,2
543,1,49.67,1,1,3
29,3,243.27,4,3,4
543,1,44.97,1,1,3
21,11,361.21,4,4,4
372,2,23.93,3,3,2
371,2,52.4,3,3,3
30,23,657.87,4,4,4
441,2,118.98,3,3,4
99,4,156.39,4,4,4
64,5,291.87,4,4,4
6,4,79.0,4,4,3
245,3,101.23,3,3,3
151,3,216.17,4,3,4
503,2,53.5,2,3,3
14,7,173.38,4,4,4
258,3,31.72,3,3,2
460,2,52.87,3,3,3
543,1,19.99,1,1,1
543,1,14.99,1,1,1
543,1,29.99,1,1,2
543,1,15.96,1,1,1
543,1,13.9,1,1,1
543,1,15.36,1,1,1
543,1,14.37,1,1,1
236,3,111.45,3,3,4
141,5,206.43,4,4,4
529,1,11.77,1,1,1
45,12,329.16,4,4,4
224,33,2849.64,3,4,4
291,6,220.46,3,4,4
543,1,40.3,1,1,2
193,3,85.17,4,3,3
175,2,42.32,4,3,2
42,3,41.34,4,3,2
428,3,121.24,3,3,4
23,8,203.86,4,4,4
529,1,31.32,1,1,2
191,3,90.15,4,3,3
283,3,91.32,3,3,3
375,3,39.71,3,3,2
233,3,81.1,3,3,3
303,2,40.11,3,3,2
543,1,15.36,1,1,1
509,2,19.54,1,3,1
333,3,374.6,3,3,4
543,1,24.13,1,1,2
543,1,68.97,1,1,3
543,1,53.68,1,1,3
96,2,39.98,4,3,2
543,1,81.96,1,1,3
25,4,214.6,4,4,4
204,8,488.33,4,4,4
40,4,123.66,4,4,4
265,2,25.76,3,3,2
543,1,12.49,1,1,1
379,3,49.97,3,3,3
88,4,52.59,4,4,3
519,2,78.91,1,3,3
26,3,48.14,4,3,3
543,1,29.92,1,1,2
375,2,76.21,3,3,3
42,33,1025.01,4,4,4
543,1,13.77,1,1,1
532,2,32.27,1,3,2
543,1,59.97,1,1,3
543,1,32.72,1,1,2
251,6,216.87,3,4,4
249,2,41.25,3,3,2
42,4,387.87,4,4,4
543,1,15.76,1,1,1
543,1,21.99,1,1,2
60,6,274.63,4,4,4
543,1,37.47,1,1,2
76,1,12.58,4,1,1
508,2,29.33,1,3,2
340,6,244.23,3,4,4
507,1,13.97,1,1,1
65,8,598.57,4,4,4
543,1,27.92,1,1,2
543,1,12.97,1,1,1
27,2,42.48,4,3,2
538,2,27.94,1,3,2
543,1,15.36,1,1,1
543,1,35.12,1,1,2
532,1,16.99,1,1,1
61,10,255.67,4,4,4
543,1,9.77,1,1,1
103,4,101.18,4,4,3
140,3,40.72,4,3,2
365,2,71.97,3,3,3
536,2,124.94,1,3,4
204,2,48.94,4,3,3
543,1,15.36,1,1,1
543,1,24.99,1,1,2
543,1,11.77,1,1,1
68,4,122.65,4,4,4
428,2,75.22,3,3,3
395,2,63.91,3,3,3
80,2,169.89,4,3,4
543,1,71.49,1,1,3
543,1,14.96,1,1,1
27,17,670.0,4,4,4
543,1,9.97,1,1,1
543,1,12.77,1,1,1
110,5,153.71,4,4,4
8,11,242.08,4,4,4
543,1,23.54,1,1,2
543,1,11.97,1,1,1
374,2,44.28,3,3,3
335,4,220.64,3,4,4
461,2,119.03,3,3,4
543,1,26.14,1,1,2
21,4,103.53,4,4,3
193,2,25.76,4,3,2
367,2,37.3,3,3,2
543,1,14.77,1,1,1
331,6,140.35,3,4,4
543,1,24.99,1,1,2
543,1,22.54,1,1,2
543,1,58.98,1,1,3
543,1,15.36,1,1,1
543,1,46.69,1,1,3
543,1,15.96,1,1,1
543,1,29.98,1,1,2
513,2,84.58,1,3,3
431,3,187.88,3,3,4
543,1,13.97,1,1,1
543,1,8.77,1,1,1
543,1,32.37,1,1,2
81,2,47.38,4,3,3
543,1,14.37,1,1,1
372,4,61.25,3,4,3
543,1,21.75,1,1,2
2,12,411.62,4,4,4
543,1,12.49,1,1,1
391,2,31.32,3,3,2
543,1,15.99,1,1,1
524,2,51.93,1,3,3
543,1,37.11,1,1,2
543,1,13.97,1,1,1
60,7,148.41,4,4,4
197,2,21.47,4,3,2
542,1,89.54,1,1,3
543,1,16.7,1,1,1
147,7,134.19,4,4,4
542,1,121.34,1,1,4
161,4,85.35,4,4,3
161,2,36.42,4,3,2
543,1,17.36,1,1,1
543,1,12.49,1,1,1
543,1,24.98,1,1,2
543,1,14.9,1,1,1
5,57,2502.3,4,4,4
15,16,465.1,4,4,4
124,2,58.6,4,3,3
543,1,21.37,1,1,2
507,2,42.92,1,3,2
543,1,6.79,1,1,1
207,3,48.66,4,3,3
9,5,63.71,4,4,3
539,1,34.98,1,1,2
543,1,26.98,1,1,2
543,1,31.13,1,1,2
60,4,198.79,4,4,4
543,1,14.79,1,1,1
543,1,67.75,1,1,3
543,1,13.97,1,1,1
529,3,88.26,1,3,3
543,1,9.77,1,1,1
543,1,21.7,1,1,2
12,21,651.14,4,4,4
127,17,855.38,4,4,4
229,2,71.94,3,3,3
232,3,115.19,3,3,4
543,1,125.6,1,1,4
336,2,36.91,3,3,2
15,3,49.95,4,3,3
543,1,28.74,1,1,2
38,6,200.32,4,4,4
512,2,19.96,1,3,1
479,2,69.84,2,3,3
543,1,15.36,1,1,1
542,1,43.13,1,1,2
519,2,129.15,1,3,4
534,1,15.7,1,1,1
210,3,271.2,3,3,4
543,1,12.49,1,1,1
346,4,344.0,3,4,4
525,2,77.22,1,3,3
543,1,49.97,1,1,3
543,1,36.74,1,1,2
543,1,63.62,1,1,3
543,1,29.37,1,1,2
543,1,57.98,1,1,3
219,3,72.37,3,3,3
493,2,46.08,2,3,3
543,1,52.99,1,1,3
311,3,70.42,3,3,3
543,1,9.77,1,1,1
30,26,846.75,4,4,4
201,2,30.36,4,3,2
71,3,53.43,4,3,3
543,1,9.97,1,1,1
543,1,23.54,1,1,2
523,2,87.59,1,3,3
67,4,86.33,4,4,3
179,3,349.43,4,3,4
358,7,213.04,3,4,4
212,9,292.82,3,4,4
543,1,43.49,1,1,2
543,1,55.53,1,1,3
543,1,12.77,1,1,1
543,1,34.72,1,1,2
59,10,208.72,4,4,4
190,8,394.8,4,4,4
543,1,12.49,1,1,1
542,1,186.67,1,1,4
36,8,184.12,4,4,4
542,1,9.97,1,1,1
303,5,149.52,3,4,4
542,1,15.9,1,1,1
171,4,142.18,4,4,4
394,3,58.32,3,3,3
542,1,10.77,1,1,1
12,10,598.65,4,4,4
230,4,267.88,3,4,4
542,1,11.97,1,1,1
542,1,60.33,1,1,3
542,1,179.01,1,1,4
542,1,14.96,1,1,1
92,3,99.44,4,3,3
2,15,270.37,4,4,4
542,1,28.77,1,1,2
537,1,50.6,1,1,3
542,1,33.51,1,1,2
485,2,30.32,2,3,2
542,1,13.97,1,1,1
542,1,12.49,1,1,1
3,16,775.93,4,4,4
534,1,23.54,1,1,2
154,4,213.73,4,4,4
128,4,258.96,4,4,4
511,1,9.77,1,1,1
542,1,44.14,1,1,3
542,1,11.77,1,1,1
103,3,83.78,4,3,3
3,4,101.52,4,4,3
107,5,249.64,4,4,4
542,1,25.14,1,1,2
21,6,458.13,4,4,4
521,1,27.74,1,1,2
542,1,18.36,1,1,1
223,3,254.86,3,3,4
542,1,33.52,1,1,2
490,2,128.08,2,3,4
509,2,121.25,1,3,4
527,1,9.77,1,1,1
542,1,35.31,1,1,2
542,1,99.8,1,1,3
520,2,28.14,1,3,2
517,6,279.67,1,4,4
135,2,37.19,4,3,2
256,5,93.34,3,4,3
394,5,123.5,3,4,4
542,1,11.97,1,1,1
18,11,600.37,4,4,4
162,4,876.69,4,4,4
542,1,34.94,1,1,2
186,6,241.43,4,4,4
462,2,66.75,3,3,3
542,1,11.75,1,1,1
158,5,71.04,4,4,3
542,1,53.98,1,1,3
542,1,13.77,1,1,1
542,1,21.37,1,1,2
542,1,21.98,1,1,2
542,1,16.56,1,1,1
230,4,466.46,3,4,4
270,4,92.86,3,4,3
542,1,14.99,1,1,1
542,1,14.99,1,1,1
200,3,79.21,4,3,3
533,2,29.95,1,3,2
527,2,60.96,1,3,3
316,5,145.76,3,4,4
542,1,11.77,1,1,1
55,13,298.05,4,4,4
88,7,452.28,4,4,4
542,1,37.51,1,1,2
42,4,134.39,4,4,4
58,10,143.94,4,4,4
237,6,553.71,3,4,4
532,2,44.38,1,3,3
542,1,12.49,1,1,1
542,1,42.7,1,1,2
524,1,44.51,1,1,3
370,2,112.17,3,3,4
195,4,212.23,4,4,4
542,1,24.94,1,1,2
533,1,26.73,1,1,2
285,3,92.42,3,3,3
43,7,158.93,4,4,4
132,3,81.94,4,3,3
542,1,49.99,1,1,3
542,1,43.7,1,1,3
542,1,11.77,1,1,1
519,2,107.31,1,3,4
542,1,34.34,1,1,2
542,1,53.47,1,1,3
542,1,44.88,1,1,3
542,1,49.98,1,1,3
113,11,325.46,4,4,4
20,2,24.26,4,3,2
542,1,11.77,1,1,1
199,6,180.94,4,4,4
58,6,177.78,4,4,4
542,1,16.99,1,1,1
449,4,99.36,3,4,3
542,1,14.99,1,1,1
542,1,14.3,1,1,1
542,1,14.37,1,1,1
537,2,49.95,1,3,3
73,5,270.85,4,4,4
350,3,54.64,3,3,3
535,1,36.99,1,1,2
542,1,82.89,1,1,3
542,1,11.77,1,1,1
542,1,16.7,1,1,1
115,12,1024.84,4,4,4
537,1,9.98,1,1,1
521,2,33.35,1,3,2
500,2,47.08,2,3,3
17,5,156.27,4,4,4
0,5,153.05,4,4,4
542,1,109.28,1,1,4
153,6,116.44,4,4,4
423,2,37.71,3,3,2
56,9,180.31,4,4,4
542,1,36.35,1,1,2
542,1,14.99,1,1,1
542,1,145.47,1,1,4
542,1,28.33,1,1,2
235,2,41.92,3,3,2
542,1,20.54,1,1,2
542,1,22.77,1,1,2
514,3,45.28,1,3,3
317,5,64.64,3,4,3
542,1,38.76,1,1,2
542,1,15.36,1,1,1
542,1,27.13,1,1,2
39,14,283.41,4,4,4
542,1,42.67,1,1,2
475,4,73.06,2,4,3
542,1,12.77,1,1,1
542,1,27.94,1,1,2
189,4,82.18,4,4,3
542,1,89.24,1,1,3
542,1,8.97,1,1,1
205,3,136.59,4,3,4
475,1,68.29,2,1,3
40,9,250.26,4,4,4
540,1,24.98,1,1,2
539,1,47.48,1,1,3
110,6,249.24,4,4,4
282,2,84.94,3,3,3
183,3,134.94,4,3,4
178,3,327.36,4,3,4
429,3,103.36,3,3,3
455,3,175.64,3,3,4
511,3,74.02,1,3,3
26,6,91.33,4,4,3
109,2,25.44,4,3,2
449,7,392.04,3,4,4
380,2,51.02,3,3,3
542,1,24.98,1,1,2
542,1,14.99,1,1,1
536,1,16.36,1,1,1
108,4,441.01,4,4,4
542,1,14.9,1,1,1
542,1,25.13,1,1,2
120,5,103.75,4,4,3
147,3,52.3,4,3,3
478,2,34.98,2,3,2
542,1,35.99,1,1,2
214,5,93.63,3,4,3
152,8,214.99,4,4,4
506,2,74.23,1,3,3
341,2,75.72,3,3,3
542,1,45.69,1,1,3
535,1,68.47,1,1,3
101,4,157.56,4,4,4
542,1,31.98,1,1,2
542,1,15.36,1,1,1
542,1,58.66,1,1,3
468,2,97.62,3,3,3
542,1,34.69,1,1,2
542,1,68.65,1,1,3
542,1,117.1,1,1,4
540,1,17.9,1,1,1
542,1,27.77,1,1,2
541,1,98.38,1,1,3
26,9,213.93,4,4,4
542,1,75.81,1,1,3
542,1,14.37,1,1,1
39,8,106.5,4,4,3
542,1,21.75,1,1,2
498,1,33.35,2,1,2
134,6,67.15,4,4,3
542,1,14.96,1,1,1
528,2,32.98,1,3,2
339,2,26.74,3,3,2
542,1,29.33,1,1,2
542,1,46.99,1,1,3
542,1,18.36,1,1,1
541,1,95.73,1,1,3
542,1,13.97,1,1,1
542,1,28.99,1,1,2
437,2,25.39,3,3,2
96,6,399.59,4,4,4
19,8,493.23,4,4,4
101,2,308.38,4,3,4
541,1,48.5,1,1,3
541,1,137.11,1,1,4
541,1,44.69,1,1,3
199,3,176.18,4,3,4
541,1,77.25,1,1,3
491,2,41.9,2,3,2
292,5,246.7,3,4,4
541,1,14.96,1,1,1
538,2,51.31,1,3,3
33,3,121.82,4,3,4
196,6,284.89,4,4,4
204,3,54.24,4,3,3
211,2,42.43,3,3,2
472,2,35.31,2,3,2
541,1,79.55,1,1,3
262,8,256.25,3,4,4
74,5,279.87,4,4,4
61,4,102.15,4,4,3
526,1,8.99,1,1,1
